,a_MLE,b_MLE,a_std,b_std,mu_MOM,sigma_MOM,Inference_grade,Score,Mean,standard deviation,mu_ML,sigma_ML,a,b
0,4.904058835072509,34.32546571500403,0.08525797782303302,0.6463968727736109,211.63726525489793,137.7255913373651,1.0,0.0,167.83935000000002,75.55273849106995,168.334103407644,76.01412036710697,4.935,34.010000000000005
1,6.242932672855842,34.10235113829852,0.1341409161009871,0.698673876575084,266.69865568865,204.5256663536044,1.0,0.0,211.5428,86.21840866079586,212.89868214248645,85.20766171714888,6.02,35.14
3,7.136471392229318,107.09510069039933,0.13591055492516876,2.0380523685069534,911.8485245632107,527.2568483032072,1.0,0.0,756.8225500000001,283.7308841904596,764.2811223249531,286.0957248040632,7.115,106.37
4,6.922919042190203,18.535582917622175,0.20958752197861466,0.7109061755026624,178.1027396092167,52.88215330954516,1.0,0.0,130.7287,50.243120892317194,128.320339938502,48.769788813850404,6.77,19.310000000000002
5,7.753180616162333,85.63144510387893,0.149191059398861,1.8966602084868596,824.3510411622116,296.15087753797513,1.0,0.0,659.9879999999999,231.89614537546757,663.916060313363,238.43676661183636,8.1,81.47999999999999
8,4.4538065737308985,1024.8439288380089,0.09959096780957845,23.546751473250023,6442.135731673915,5024.618246136763,1.0,0.0,4550.0548499999995,2165.465545295399,4564.456627306925,2162.835098415946,4.415,1030.59
10,2.054203305978067,50.376928446531416,0.033742766803503625,1.0260417793215282,140.46788107147376,113.06590185549044,1.0,0.000992063492063492,103.8451,72.61717550276931,103.48445295988536,72.20269303903139,2.045,50.78
11,4.142211564812691,7.992052392888461,0.0760225130819923,0.17306823605416757,43.299186640605015,24.793558701919267,1.0,0.0,33.287099999999995,16.791120778554358,33.104771848411524,16.265763771404153,3.93,8.469999999999999
13,0.7305211598003493,19.865432127751376,0.013096862173697233,0.4714780501319651,19.863928577055834,25.92084311694598,1.0,0.32313965341488277,14.5368,17.131783094587675,14.512118517900054,16.979090242036747,0.72,20.19
14,6.044189695486952,11.53849747148146,0.2059845574167477,0.4005713712552826,102.40773340199033,72.4736394479631,1.0,0.0,69.2891,27.894741314448503,69.7408675185305,28.36731963935767,6.17,11.23
15,3.430978780883748,46.696689602513935,0.05625276622098593,0.8602310488813778,208.76730648854232,157.95736884100845,1.0,0.0,160.6269,86.73037372800835,160.21535116374005,86.49581795006588,3.43,46.83
16,7.479357978291581,34.12857977819856,0.25484990798152346,1.1000538140246632,342.0327635998199,266.72266887871876,1.0,0.0,257.36240000000004,92.26889070537264,255.2598654518301,93.33625599007608,7.78,33.080000000000005
17,0.588368832478839,45.61513429438199,0.009318708833466947,1.0352018370592615,37.31150199933609,52.58327334317003,1.0,0.2682445759368836,27.06525,35.69259471515065,26.83852330815098,34.98918182759077,0.575,47.07
